n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
1000,centro,17908.0,Binaria,10,749,2,400
1000,centro,17908.0,Binaria,11,749,2,300
1000,centro,17908.0,Binaria,12,749,2,900
1000,centro,17908.0,Binaria,13,749,2,300
1000,centro,17908.0,Binaria,14,749,2,400
1000,centro,17908.0,Binaria,15,749,2,300
1000,centro,17908.0,Binaria,16,749,2,300
1000,centro,17908.0,Binaria,17,749,2,300
1000,centro,17908.0,Binaria,18,749,2,300
1000,centro,17908.0,Binaria,19,749,2,400
1000,centro,17908.0,Binaria,20,749,2,300
1000,centro,17908.0,Binaria,21,749,2,300
1000,centro,17908.0,Binaria,22,749,2,300
1000,centro,17908.0,Binaria,23,749,2,300
1000,centro,17908.0,Binaria,24,749,2,400
1000,centro,17908.0,Binaria,25,749,2,400
1000,centro,17908.0,Binaria,26,749,2,400
1000,centro,17908.0,Binaria,27,749,2,300
1000,centro,17908.0,Binaria,28,749,2,400
1000,centro,17908.0,Binaria,29,749,2,300
1000,centro,17908.0,Binaria,30,749,2,300
1000,final,14729.0,Lineal,1,944,945,37300
1000,final,14729.0,Lineal,2,944,945,34500
1000,final,14729.0,Lineal,3,944,945,34400
1000,final,14729.0,Lineal,4,944,945,34100
1000,final,14729.0,Lineal,5,944,945,34500
1000,final,14729.0,Lineal,6,944,945,37700
1000,final,14729.0,Lineal,7,944,945,34600
1000,final,14729.0,Lineal,8,944,945,33900
1000,final,14729.0,Lineal,9,944,945,34500
1000,final,14729.0,Lineal,10,944,945,35300
1000,final,14729.0,Lineal,11,944,945,34900
1000,final,14729.0,Lineal,12,944,945,34600
1000,final,14729.0,Lineal,13,944,945,34200
1000,final,14729.0,Lineal,14,944,945,34400
1000,final,14729.0,Lineal,15,944,945,34000
1000,final,14729.0,Lineal,16,944,945,35700
1000,final,14729.0,Lineal,17,944,945,35100
1000,final,14729.0,Lineal,18,944,945,34900
1000,final,14729.0,Lineal,19,944,945,34300
1000,final,14729.0,Lineal,20,944,945,33600
1000,final,14729.0,Lineal,21,944,945,33100
1000,final,14729.0,Lineal,22,944,945,33800
1000,final,14729.0,Lineal,23,944,945,34200
1000,final,14729.0,Lineal,24,944,945,35700
1000,final,14729.0,Lineal,25,944,945,34500
1000,final,14729.0,Lineal,26,944,945,34200
1000,final,14729.0,Lineal,27,944,945,35200
1000,final,14729.0,Lineal,28,944,945,34800
1000,final,14729.0,Lineal,29,944,945,34500
1000,final,14729.0,Lineal,30,944,945,34400
1000,final,14729.0,Binaria,1,311,4,1800
1000,final,14729.0,Binaria,2,311,4,800
1000,final,14729.0,Binaria,3,311,4,500
1000,final,14729.0,Binaria,4,311,4,500
1000,final,14729.0,Binaria,5,311,4,500
1000,final,14729.0,Binaria,6,311,4,600
1000,final,14729.0,Binaria,7,311,4,600
1000,final,14729.0,Binaria,8,311,4,500
1000,final,14729.0,Binaria,9,311,4,500
1000,final,14729.0,Binaria,10,311,4,500
1000,final,14729.0,Binaria,11,311,4,500
1000,final,14729.0,Binaria,12,311,4,500
1000,final,14729.0,Binaria,13,311,4,500
1000,final,14729.0,Binaria,14,311,4,500
1000,final,14729.0,Binaria,15,311,4,500
1000,final,14729.0,Binaria,16,311,4,400
1000,final,14729.0,Binaria,17,311,4,500
1000,final,14729.0,Binaria,18,311,4,1200
1000,final,14729.0,Binaria,19,311,4,400
1000,final,14729.0,Binaria,20,311,4,500
1000,final,14729.0,Binaria,21,311,4,500
1000,final,14729.0,Binaria,22,311,4,500
1000,final,14729.0,Binaria,23,311,4,500
1000,final,14729.0,Binaria,24,311,4,500
1000,final,14729.0,Binaria,25,311,4,600
1000,final,14729.0,Binaria,26,311,4,600
1000,final,14729.0,Binaria,27,311,4,500
1000,final,14729.0,Binaria,28,311,4,400
1000,final,14729.0,Binaria,29,311,4,600
1000,final,14729.0,Binaria,30,311,4,500
1000,ausente,18288.0,Lineal,1,-1,1000,40700
1000,ausente,18288.0,Lineal,2,-1,1000,36400
1000,ausente,18288.0,Lineal,3,-1,1000,36400
1000,ausente,18288.0,Lineal,4,-1,1000,35400
1000,ausente,18288.0,Lineal,5,-1,1000,36400
1000,ausente,18288.0,Lineal,6,-1,1000,35900
1000,ausente,18288.0,Lineal,7,-1,1000,37100
1000,ausente,18288.0,Lineal,8,-1,1000,36600
1000,ausente,18288.0,Lineal,9,-1,1000,36700
1000,ausente,18288.0,Lineal,10,-1,1000,36900
1000,ausente,18288.0,Lineal,11,-1,1000,35200
1000,ausente,18288.0,Lineal,12,-1,1000,35200
1000,ausente,18288.0,Lineal,13,-1,1000,35500
1000,ausente,18288.0,Lineal,14,-1,1000,35300
1000,ausente,18288.0,Lineal,15,-1,1000,35700
1000,ausente,18288.0,Lineal,16,-1,1000,35900
1000,ausente,18288.0,Lineal,17,-1,1000,35600
1000,ausente,18288.0,Lineal,18,-1,1000,34300
1000,ausente,18288.0,Lineal,19,-1,1000,35200
1000,ausente,18288.0,Lineal,20,-1,1000,35600
1000,ausente,18288.0,Lineal,21,-1,1000,35500
