n,escenario,objetivo,algoritmo,repeticion,posicion,comparaciones,tiempo_ns
10000,inicio,17850.0,Binaria,22,8749,3,500
10000,inicio,17850.0,Binaria,23,8749,3,500
10000,inicio,17850.0,Binaria,24,8749,3,500
10000,inicio,17850.0,Binaria,25,8749,3,500
10000,inicio,17850.0,Binaria,26,8749,3,400
10000,inicio,17850.0,Binaria,27,8749,3,500
10000,inicio,17850.0,Binaria,28,8749,3,500
10000,inicio,17850.0,Binaria,29,8749,3,500
10000,inicio,17850.0,Binaria,30,8749,3,400
10000,centro,12395.0,Lineal,1,4993,4994,190900
10000,centro,12395.0,Lineal,2,4993,4994,183400
10000,centro,12395.0,Lineal,3,4993,4994,187700
10000,centro,12395.0,Lineal,4,4993,4994,185400
10000,centro,12395.0,Lineal,5,4993,4994,192700
10000,centro,12395.0,Lineal,6,4993,4994,187600
10000,centro,12395.0,Lineal,7,4993,4994,198100
10000,centro,12395.0,Lineal,8,4993,4994,189200
10000,centro,12395.0,Lineal,9,4993,4994,189300
10000,centro,12395.0,Lineal,10,4993,4994,186600
10000,centro,12395.0,Lineal,11,4993,4994,187800
10000,centro,12395.0,Lineal,12,4993,4994,184400
10000,centro,12395.0,Lineal,13,4993,4994,198600
10000,centro,12395.0,Lineal,14,4993,4994,190700
